book,chapter,verse_number,verse_text
2 Kings,1,15,"Behold, fire came down from the sky, and consumed the last two captains of fifty with their fifties. But now let my life be precious in your sight.”"
2 Kings,1,16,"Yahweh’s angel said to Elijah, “Go down with him. Don’t be afraid of him.”"
2 Kings,1,17,"Then he arose, and went down with him to the king."
2 Kings,1,18,"He said to him, “Yahweh says, ‘Because you have sent messengers to inquire of Baal Zebub, the god of Ekron, is it because there is no God in Israel to inquire of his word? Therefore you will not come down from the bed where you have gone up, but you will surely die.’”"
2 Kings,1,19,"So he died according to Yahweh’s word which Elijah had spoken. Jehoram began to reign in his place in the second year of Jehoram the son of Jehoshaphat king of Judah, because he had no son."
2 Kings,1,20,"Now the rest of the acts of Ahaziah which he did, aren’t they written in the book of the chronicles of the kings of Israel?"
2 Kings,1,21,
2 Kings,2,1,"When Yahweh was about to take Elijah up by a whirlwind into heaven, Elijah went with Elisha from Gilgal."
2 Kings,2,2,"Elijah said to Elisha, “Please wait here, for Yahweh has sent me as far as Bethel.”"
2 Kings,2,3,"Elisha said, “As Yahweh lives, and as your soul lives, I will not leave you.” So they went down to Bethel."
2 Kings,2,4,"The sons of the prophets who were at Bethel came out to Elisha, and said to him, “Do you know that Yahweh will take away your master from your head today?”"
2 Kings,2,5,"He said, “Yes, I know it. Hold your peace.”"
2 Kings,2,6,"Elijah said to him, “Elisha, please wait here, for Yahweh has sent me to Jericho.”"
2 Kings,2,7,"He said, “As Yahweh lives, and as your soul lives, I will not leave you.” So they came to Jericho."
2 Kings,2,8,"The sons of the prophets who were at Jericho came near to Elisha, and said to him, “Do you know that Yahweh will take away your master from your head today?”"
2 Kings,2,9,"He answered, “Yes, I know it. Hold your peace.”"
2 Kings,2,10,"Elijah said to him, “Please wait here, for Yahweh has sent me to the Jordan.”"
2 Kings,2,11,"He said, “As Yahweh lives, and as your soul lives, I will not leave you.” Then they both went on."
2 Kings,2,12,"Fifty men of the sons of the prophets went, and stood opposite them at a distance; and they both stood by the Jordan."
2 Kings,2,13,"Elijah took his mantle, and rolled it up, and struck the waters, and they were divided here and there, so that they both went over on dry ground."
2 Kings,2,14,"When they had gone over, Elijah said to Elisha, “Ask what I shall do for you, before I am taken from you.”"
2 Kings,2,15,"Elisha said, “Please let a double portion of your spirit be on me.”"
2 Kings,2,16,"He said, “You have asked a hard thing. If you see me when I am taken from you, it will be so for you; but if not, it will not be so.”"
2 Kings,2,17,"As they continued on and talked, behold, a chariot of fire and horses of fire separated them, and Elijah went up by a whirlwind into heaven."
2 Kings,2,18,"Elisha saw it, and he cried, “My father, my father, the chariots of Israel and its horsemen!”"
2 Kings,2,19,"He saw him no more. Then he took hold of his own clothes, and tore them in two pieces."
2 Kings,2,20,"He also took up Elijah’s mantle that fell from him, and went back, and stood by the bank of the Jordan."
2 Kings,2,21,"He took Elijah’s mantle that fell from him, and struck the waters, and said, “Where is Yahweh, the God of Elijah?” When he also had struck the waters, they were divided apart, and Elisha went over."
2 Kings,2,22,"When the sons of the prophets who were at Jericho over against him saw him, they said, “The spirit of Elijah rests on Elisha.” They came to meet him, and bowed themselves to the ground before him."
2 Kings,2,23,"They said to him, “See now, there are with your servants fifty strong men. Please let them go and seek your master. Perhaps Yahweh’s Spirit has taken him up, and put him on some mountain, or into some valley.”"
2 Kings,2,24,"He said, “Don’t send them.”"
2 Kings,2,25,"When they urged him until he was ashamed, he said, “Send them.”"
2 Kings,2,26,"Therefore they sent fifty men; and they searched for three days, but didn’t find him."
2 Kings,2,27,"They came back to him, while he stayed at Jericho; and he said to them, “Didn’t I tell you, ‘Don’t go?’”"
2 Kings,2,28,"The men of the city said to Elisha, “Behold, please, the situation of this city is pleasant, as my lord sees; but the water is bad, and the land is barren.”"
2 Kings,2,29,"He said, “Bring me a new jar, and put salt in it.” Then they brought it to him."
2 Kings,2,30,"He went out to the spring of the waters, and threw salt into it, and said, “Yahweh says, ‘I have healed these waters. There shall not be from there any more death or barren wasteland.’”"
2 Kings,2,31,"So the waters were healed to this day, according to Elisha’s word which he spoke."
2 Kings,2,32,"He went up from there to Bethel. As he was going up by the way, some youths came out of the city and mocked him, and said to him, “Go up, you baldy! Go up, you baldy!”"
2 Kings,2,33,"He looked behind him and saw them, and cursed them in Yahweh’s name. Then two female bears came out of the woods, and mauled forty-two of those youths."
2 Kings,2,34,"He went from there to Mount Carmel, and from there he returned to Samaria."
2 Kings,2,35,
2 Kings,3,1,"Now Jehoram the son of Ahab began to reign over Israel in Samaria in the eighteenth year of Jehoshaphat king of Judah, and reigned twelve years."
2 Kings,3,2,"He did that which was evil in Yahweh’s sight, but not like his father, and like his mother, for he put away the pillar of Baal that his father had made.Nevertheless he held to the sins of Jeroboam the son of Nebat, with which he made Israel to sin. He didn’t depart from them.Now Mesha king of Moab was a sheep breeder; and he supplied the king of Israel with the wool of one hundred thousand lambs, and of one hundred thousand rams."
2 Kings,3,3,"But when Ahab was dead, the king of Moab rebelled against the king of Israel."
2 Kings,3,4,"King Jehoram went out of Samaria at that time, and mustered all Israel."
2 Kings,3,5,"He went and sent to Jehoshaphat the king of Judah, saying, “The king of Moab has rebelled against me. Will you go with me against Moab to battle?”"
2 Kings,3,6,"He said, “I will go up. I am as you are, my people as your people, my horses as your horses.”"
2 Kings,3,7,"He said, “Which way shall we go up?”"
2 Kings,3,8,"He answered, “The way of the wilderness of Edom.”"
2 Kings,3,9,"So the king of Israel went with the king of Judah and the king of Edom, and they marched for seven days along a circuitous route. There was no water for the army or for the animals that followed them."
2 Kings,3,10,"The king of Israel said, “Alas! For Yahweh has called these three kings together to deliver them into the hand of Moab.”"
2 Kings,3,11,"But Jehoshaphat said, “Isn’t there a prophet of Yahweh here, that we may inquire of Yahweh by him?”"
2 Kings,3,12,"One of the king of Israel’s servants answered, “Elisha the son of Shaphat, who poured water on the hands of Elijah, is here.”"
2 Kings,3,13,"Jehoshaphat said, “Yahweh’s word is with him.” So the king of Israel and Jehoshaphat and the king of Edom went down to him."
2 Kings,3,14,"Elisha said to the king of Israel, “What have I to do with you? Go to the prophets of your father, and to the prophets of your mother.”"
2 Kings,3,15,"The king of Israel said to him, “No, for Yahweh has called these three kings together to deliver them into the hand of Moab.”"
2 Kings,3,16,"Elisha said, “As Yahweh of Armies lives, before whom I stand, surely, were it not that I respect the presence of Jehoshaphat the king of Judah, I would not look toward you, nor see you."
2 Kings,3,17,"But now bring me a musician.” When the musician played, Yahweh’s hand came on him."
2 Kings,3,18,"He said, “Yahweh says, ‘Make this valley full of trenches.’"
2 Kings,3,19,"For Yahweh says, ‘You will not see wind, neither will you see rain, yet that valley will be filled with water, and you will drink, both you and your livestock and your other animals."
2 Kings,3,20,This is an easy thing in Yahweh’s sight. He will also deliver the Moabites into your hand.
2 Kings,3,21,"You shall strike every fortified city, and every choice city, and shall fell every good tree, and stop all springs of water, and mar every good piece of land with stones.’”"
2 Kings,3,22,"In the morning, about the time of offering the sacrifice, behold, water came by the way of Edom, and the country was filled with water."
2 Kings,3,23,"Now when all the Moabites heard that the kings had come up to fight against them, they gathered themselves together, all who were able to put on armor, young and old, and stood on the border."
2 Kings,3,24,"They rose up early in the morning, and the sun shone on the water, and the Moabites saw the water opposite them as red as blood."
2 Kings,3,25,"They said, “This is blood. The kings are surely destroyed, and they have struck each other. Now therefore, Moab, to the plunder!”"
2 Kings,3,26,"When they came to the camp of Israel, the Israelites rose up and struck the Moabites, so that they fled before them; and they went forward into the land attacking the Moabites."
2 Kings,3,27,"They beat down the cities; and on every good piece of land each man cast his stone, and filled it. They also stopped all the springs of water, and felled all the good trees, until in Kir Hareseth all they left was its stones; however the men armed with slings went around it, and attacked it."
2 Kings,3,28,"When the king of Moab saw that the battle was too severe for him, he took with him seven hundred men who drew a sword, to break through to the king of Edom; but they could not."
2 Kings,3,29,"Then he took his oldest son who would have reigned in his place, and offered him for a burnt offering on the wall. There was great wrath against Israel; and they departed from him, and returned to their own land."
2 Kings,3,30,
2 Kings,4,1,"Now a certain woman of the wives of the sons of the prophets cried out to Elisha, saying, “Your servant my husband is dead. You know that your servant feared Yahweh. Now the creditor has come to take for himself my two children to be slaves.”"
2 Kings,4,2,"Elisha said to her, “What should I do for you? Tell me: what do you have in the house?”"
2 Kings,4,3,"She said, “Your servant has nothing in the house, except a pot of oil.”"
2 Kings,4,4,"Then he said, “Go, borrow empty containers from of all your neighbors. Don’t borrow just a few containers."
2 Kings,4,5,"Go in and shut the door on you and on your sons, and pour oil into all those containers; and set aside those which are full.”"
2 Kings,4,6,"So she went from him, and shut the door on herself and on her sons. They brought the containers to her, and she poured oil."
2 Kings,4,7,"When the containers were full, she said to her son, “Bring me another container.”"
2 Kings,4,8,"He said to her, “There isn’t another container.” Then the oil stopped flowing."
2 Kings,4,9,"Then she came and told the man of God. He said, “Go, sell the oil, and pay your debt; and you and your sons live on the rest.”"
2 Kings,4,10,"One day Elisha went to Shunem, where there was a prominent woman; and she persuaded him to eat bread. So it was, that as often as he passed by, he turned in there to eat bread."
2 Kings,4,11,"She said to her husband, “See now, I perceive that this is a holy man of God who passes by us continually."
2 Kings,4,12,"Please let us make a little room on the roof. Let us set for him there a bed, a table, a chair, and a lamp stand. When he comes to us, he can stay there.”"
2 Kings,4,13,"One day he came there, and he went to the room and lay there."
2 Kings,4,14,"He said to Gehazi his servant, “Call this Shunammite.” When he had called her, she stood before him."
2 Kings,4,15,"He said to him, “Say now to her, ‘Behold, you have cared for us with all this care. What is to be done for you? Would you like to be spoken for to the king, or to the captain of the army?’”"
2 Kings,4,16,"She answered, “I dwell among my own people.”"
2 Kings,4,17,"He said, “What then is to be done for her?”"
2 Kings,4,18,"Gehazi answered, “Most certainly she has no son, and her husband is old.”"
2 Kings,4,19,"He said, “Call her.” When he had called her, she stood in the door."
2 Kings,4,20,"He said, “At this season, when the time comes around, you will embrace a son.”"
2 Kings,4,21,"She said, “No, my lord, you man of God, do not lie to your servant.”"
2 Kings,4,22,"The woman conceived, and bore a son at that season, when the time came around, as Elisha had said to her."
2 Kings,4,23,"When the child was grown, one day he went out to his father to the reapers."
2 Kings,4,24,"He said to his father, “My head! My head!”"
2 Kings,4,25,"He said to his servant, “Carry him to his mother.”"
2 Kings,4,26,"When he had taken him, and brought him to his mother, he sat on her knees until noon, and then died."
2 Kings,4,27,"She went up and laid him on the man of God’s bed, and shut the door on him, and went out."
2 Kings,4,28,"She called to her husband, and said, “Please send me one of the servants, and one of the donkeys, that I may run to the man of God, and come again.”"
2 Kings,4,29,"He said, “Why would you want go to him today? It is not a new moon or a Sabbath.”"
2 Kings,4,30,"She said, “It’s alright.”"
2 Kings,4,31,"Then she saddled a donkey, and said to her servant, “Drive, and go forward! Don’t slow down for me, unless I ask you to.”"
2 Kings,4,32,"So she went, and came to the man of God to Mount Carmel. When the man of God saw her afar off, he said to Gehazi his servant, “Behold, there is the Shunammite."
2 Kings,4,33,"Please run now to meet her, and ask her, ‘Is it well with you? Is it well with your husband? Is it well with your child?’”"
2 Kings,4,34,"She answered, “It is well.”"
2 Kings,4,35,"When she came to the man of God to the hill, she caught hold of his feet. Gehazi came near to thrust her away; but the man of God said, “Leave her alone; for her soul is troubled within her; and Yahweh has hidden it from me, and has not told me.”"
2 Kings,4,36,"Then she said, “Did I ask you for a son, my lord? Didn’t I say, ‘Do not deceive me’?”"
2 Kings,4,37,"Then he said to Gehazi, “Tuck your cloak into your belt, take my staff in your hand, and go your way. If you meet any man, don’t greet him; and if anyone greets you, don’t answer him again. Then lay my staff on the child’s face.”"
2 Kings,4,38,"The child’s mother said, “As Yahweh lives, and as your soul lives, I will not leave you.”"
2 Kings,4,39,"So he arose, and followed her."
2 Kings,4,40,"Gehazi went ahead of them, and laid the staff on the child’s face; but there was no voice and no hearing. Therefore he returned to meet him, and told him, “The child has not awakened.”"
2 Kings,4,41,"When Elisha had come into the house, behold, the child was dead, and lying on his bed."
2 Kings,4,42,"He went in therefore, and shut the door on them both, and prayed to Yahweh."
2 Kings,4,43,"He went up, and lay on the child, and put his mouth on his mouth, and his eyes on his eyes, and his hands on his hands. He stretched himself on him; and the child’s flesh grew warm."
2 Kings,4,44,"Then he returned, and walked in the house once back and forth; and went up, and stretched himself out on him. Then the child sneezed seven times, and the child opened his eyes."
2 Kings,4,45,"He called Gehazi, and said, “Call this Shunammite!” So he called her."
2 Kings,4,46,"When she had come in to him, he said, “Take up your son.”"
2 Kings,4,47,"Then she went in, fell at his feet, and bowed herself to the ground; then she picked up her son, and went out."
2 Kings,4,48,"Elisha came again to Gilgal. There was a famine in the land; and the sons of the prophets were sitting before him; and he said to his servant, “Get the large pot, and boil stew for the sons of the prophets.”"
2 Kings,4,49,"One went out into the field to gather herbs, and found a wild vine, and gathered a lap full of wild gourds from it, and came and cut them up into the pot of stew; for they didn’t recognize them."
2 Kings,4,50,"So they poured out for the men to eat. As they were eating some of the stew, they cried out, and said, “Man of God, there is death in the pot!” And they could not eat it."
2 Kings,4,51,"But he said, “Then bring meal.” He threw it into the pot; and he said, “Serve it to the people, that they may eat.” And there was nothing harmful in the pot."
2 Kings,4,52,"A man from Baal Shalishah came, and brought the man of God some bread of the first fruits: twenty loaves of barley and fresh ears of grain in his sack. He said, “Give to the people, that they may eat.”"
2 Kings,4,53,"His servant said, “What, should I set this before a hundred men?”"
2 Kings,4,54,"But he said, “Give the people, that they may eat; for Yahweh says, ‘They will eat, and will have some left over.’”"
2 Kings,4,55,"So he set it before them, and they ate, and had some left over, according to Yahweh’s word."
2 Kings,4,56,
2 Kings,5,1,"Now Naaman, captain of the army of the king of Syria, was a great man with his master, and honorable, because by him Yahweh had given victory to Syria: he was also a mighty man of valor, but he was a leper."
2 Kings,5,2,"The Syrians had gone out in bands, and had brought away captive out of the land of Israel a little maiden; and she waited on Naaman’s wife."
2 Kings,5,3,"She said to her mistress, “I wish that my lord were with the prophet who is in Samaria! Then he would heal him of his leprosy.”"
2 Kings,5,4,"Someone went in, and told his lord, saying, “The maiden who is from the land of Israel said this.”"
2 Kings,5,5,"The king of Syria said, “Go now, and I will send a letter to the king of Israel.”"
2 Kings,5,6,"He departed, and took with him ten talents of silver, and six thousand pieces of gold, and ten changes of clothing."
2 Kings,5,7,"He brought the letter to the king of Israel, saying, “Now when this letter has come to you, behold, I have sent Naaman my servant to you, that you may heal him of his leprosy.”"
2 Kings,5,8,"When the king of Israel had read the letter, he tore his clothes, and said, “Am I God, to kill and to make alive, that this man sends to me to heal a man of his leprosy? But please consider and see how he seeks a quarrel against me.”"
2 Kings,5,9,"It was so, when Elisha the man of God heard that the king of Israel had torn his clothes, that he sent to the king, saying, “Why have you torn your clothes? Let him come now to me, and he shall know that there is a prophet in Israel.”"
2 Kings,5,10,"So Naaman came with his horses and with his chariots, and stood at the door of the house of Elisha."
2 Kings,5,11,"Elisha sent a messenger to him, saying, “Go and wash in the Jordan seven times, and your flesh shall come again to you, and you shall be clean.”"
2 Kings,5,12,"But Naaman was angry, and went away, and said, “Behold, I thought, ‘He will surely come out to me, and stand, and call on the name of Yahweh his God, and wave his hand over the place, and heal the leper.’"
2 Kings,5,13,"Aren’t Abanah and Pharpar, the rivers of Damascus, better than all the waters of Israel? Couldn’t I wash in them, and be clean?” So he turned and went away in a rage."
2 Kings,5,14,"His servants came near, and spoke to him, and said, “My father, if the prophet had asked you do some great thing, wouldn’t you have done it? How much rather then, when he says to you, ‘Wash, and be clean?’”"
2 Kings,5,15,"Then went he down, and dipped himself seven times in the Jordan, according to the saying of the man of God; and his flesh was restored like the flesh of a little child, and he was clean."
2 Kings,5,16,"He returned to the man of God, he and all his company, and came, and stood before him; and he said, “See now, I know that there is no God in all the earth, but in Israel. Now therefore, please take a gift from your servant.”"
2 Kings,5,17,"But he said, “As Yahweh lives, before whom I stand, I will receive none.”"
2 Kings,5,18,He urged him to take it; but he refused.
2 Kings,5,19,"Naaman said, “If not, then, please let two mules’ burden of earth be given to your servant; for your servant will from now on offer neither burnt offering nor sacrifice to other gods, but to Yahweh."
2 Kings,5,20,"In this thing may Yahweh pardon your servant: when my master goes into the house of Rimmon to worship there, and he leans on my hand, and I bow myself in the house of Rimmon. When I bow myself in the house of Rimmon, may Yahweh pardon your servant in this thing.”"
2 Kings,5,21,"He said to him, “Go in peace.”"
2 Kings,5,22,So he departed from him a little way.
2 Kings,5,23,"But Gehazi the servant of Elisha the man of God, said, “Behold, my master has spared this Naaman the Syrian, in not receiving at his hands that which he brought. As Yahweh lives, I will run after him, and take something from him.”"
2 Kings,5,24,"So Gehazi followed after Naaman. When Naaman saw one running after him, he came down from the chariot to meet him, and said, “Is all well?”"
2 Kings,5,25,"He said, “All is well. My master has sent me, saying, ‘Behold, even now two young men of the sons of the prophets have come to me from the hill country of Ephraim. Please give them a talent of silver and two changes of clothing.’”"
2 Kings,5,26,"Naaman said, “Be pleased to take two talents.” He urged him, and bound two talents of silver in two bags, with two changes of clothing, and laid them on two of his servants; and they carried them before him."
2 Kings,5,27,"When he came to the hill, he took them from their hand, and stored them in the house. Then he let the men go, and they departed."
2 Kings,5,28,"But he went in, and stood before his master. Elisha said to him, “Where did you come from, Gehazi?”"
2 Kings,5,29,"He said, “Your servant went nowhere.”"
2 Kings,5,30,"He said to him, “Didn’t my heart go with you, when the man turned from his chariot to meet you? Is it a time to receive money, and to receive garments, and olive groves and vineyards, and sheep and cattle, and male servants and female servants?"
2 Kings,5,31,Therefore the leprosy of Naaman will cling to you and to your offspring forever.”
2 Kings,5,32,"He went out from his presence a leper, as white as snow."
2 Kings,5,33,
2 Kings,6,1,"The sons of the prophets said to Elisha, “See now, the place where we live and meet with you is too small for us."
2 Kings,6,2,"Please let us go to the Jordan, and each man take a beam from there, and let us make us a place there, where we may live.”"
2 Kings,6,3,"He answered, “Go!”"
2 Kings,6,4,"One said, “Please be pleased to go with your servants.”"
2 Kings,6,5,"He answered, “I will go.”"
2 Kings,6,6,"So he went with them. When they came to the Jordan, they cut down wood."
2 Kings,6,7,"But as one was cutting down a tree, the ax head fell into the water. Then he cried, and said, “Alas, my master! For it was borrowed.”"
2 Kings,6,8,"The man of God asked, “Where did it fall?” He showed him the place. He cut down a stick, threw it in there, and made the iron float."
2 Kings,6,9,"He said, “Take it.” So he put out his hand and took it."
2 Kings,6,10,"Now the king of Syria was at war against Israel; and he took counsel with his servants, saying, “My camp will be in such and such a place.”"
2 Kings,6,11,"The man of God sent to the king of Israel, saying, “Beware that you not pass this place; for the Syrians are coming down there.”"
2 Kings,6,12,"The king of Israel sent to the place which the man of God told him and warned him of; and he saved himself there, not once or twice."
2 Kings,6,13,"The king of Syria’s heart was very troubled about this. He called his servants, and said to them, “Won’t you show me which of us is for the king of Israel?”"
2 Kings,6,14,"One of his servants said, “No, my lord, O king; but Elisha, the prophet who is in Israel, tells the king of Israel the words that you speak in your bedroom.”"
2 Kings,6,15,"He said, “Go and see where he is, that I may send and get him.”"
2 Kings,6,16,"He was told, “Behold, he is in Dothan.”"
2 Kings,6,17,"Therefore he sent horses, chariots, and a great army there. They came by night, and surrounded the city."
2 Kings,6,18,"When the servant of the man of God had risen early, and gone out, behold, an army with horses and chariots was around the city. His servant said to him, “Alas, my master! What shall we do?”"
2 Kings,6,19,"He answered, “Don’t be afraid; for those who are with us are more than those who are with them.”"
2 Kings,6,20,"Elisha prayed, and said, “Yahweh, please open his eyes, that he may see.” Yahweh opened the young man’s eyes; and he saw: and behold, the mountain was full of horses and chariots of fire around Elisha."
2 Kings,6,21,"When they came down to him, Elisha prayed to Yahweh, and said, “Please strike this people with blindness.”"
2 Kings,6,22,He struck them with blindness according to Elishah’s word.
2 Kings,6,23,"Elisha said to them, “This is not the way, neither is this the city. Follow me, and I will bring you to the man whom you seek.” He led them to Samaria."
2 Kings,6,24,"When they had come into Samaria, Elisha said, “Yahweh, open these men’s eyes, that they may see.”"
2 Kings,6,25,"Yahweh opened their eyes, and they saw; and behold, they were in the middle of Samaria."
2 Kings,6,26,"The king of Israel said to Elisha, when he saw them, “My father, shall I strike them? Shall I strike them?”"
2 Kings,6,27,"He answered, “You shall not strike them. Would you strike those whom you have taken captive with your sword and with your bow? Set bread and water before them, that they may eat and drink, and go to their master.”"
2 Kings,6,28,"He prepared a great feast for them. When they had eaten and drunk, he sent them away, and they went to their master. So the bands of Syria stopped raiding the land of Israel."
2 Kings,6,29,"After this, Benhadad king of Syria gathered all his army, and went up and besieged Samaria."
2 Kings,6,30,"There was a great famine in Samaria. Behold, they besieged it, until a donkey’s head was sold for eighty pieces of silver, and the fourth part of a kab of dove’s dung for five pieces of silver."
2 Kings,6,31,"As the king of Israel was passing by on the wall, a woman cried to him, saying, “Help, my lord, O king!”"
2 Kings,6,32,"He said, “If Yahweh doesn’t help you, where could I get help for you? From of the threshing floor, or from the wine press?”"
2 Kings,6,33,"The king said to her, “What is your problem?”"
2 Kings,6,34,"She answered, “This woman said to me, ‘Give your son, that we may eat him today, and we will eat my son tomorrow.’"
2 Kings,6,35,"So we boiled my son, and ate him: and I said to her on the next day, ‘Give your son, that we may eat him;’ and she has hidden her son.”"
2 Kings,6,36,"When the king heard the words of the woman, he tore his clothes. Now he was passing by on the wall, and the people looked, and behold, he had sackcloth underneath on his body."
2 Kings,6,37,"Then he said, “God do so to me, and more also, if the head of Elisha the son of Shaphat stays on him today.”"
2 Kings,6,38,"But Elisha was sitting in his house, and the elders were sitting with him. Then the king sent a man from before him; but before the messenger came to him, he said to the elders, “Do you see how this son of a murderer has sent to take away my head? Behold, when the messenger comes, shut the door, and hold the door shut against him. Isn’t the sound of his master’s feet behind him?”"
2 Kings,6,39,"While he was still talking with them, behold, the messenger came down to him. Then he said, “Behold, this evil is from Yahweh. Why should I wait for Yahweh any longer?”"
2 Kings,6,40,
2 Kings,7,1,"Elisha said, “Hear Yahweh’s word. Yahweh says, ‘Tomorrow about this time a seah of fine flour will be sold for a shekel, and two seahs of barley for a shekel, in the gate of Samaria.’”"
2 Kings,7,2,"Then the captain on whose hand the king leaned answered the man of God, and said, “Behold, if Yahweh made windows in heaven, could this thing be?”"
2 Kings,7,3,"He said, “Behold, you will see it with your eyes, but will not eat of it.”"
2 Kings,7,4,"Now there were four leprous men at the entrance of the gate. They said to one another, “Why do we sit here until we die?"
2 Kings,7,5,"If we say, ‘We will enter into the city,’ then the famine is in the city, and we will die there. If we sit still here, we also die. Now therefore come, and let us surrender to the army of the Syrians. If they save us alive, we will live; and if they kill us, we will only die.”"
2 Kings,7,6,"They rose up in the twilight, to go to the camp of the Syrians. When they had come to the outermost part of the camp of the Syrians, behold, no man was there.For the Lord had made the army of the Syrians to hear the sound of chariots, and the sound of horses, even the noise of a great army; and they said to one another, “Behold, the king of Israel has hired against us the kings of the Hittites and the kings of the Egyptians to attack us.”"
2 Kings,7,7,"Therefore they arose and fled in the twilight, and left their tents, and their horses, and their donkeys, even the camp as it was, and fled for their life."
2 Kings,7,8,"When these lepers came to the outermost part of the camp, they went into one tent, and ate and drink, and carried away silver, gold, and clothing, and went and hid it. Then they came back, and entered into another tent, and carried things from there also, and went and hid them."
2 Kings,7,9,"Then they said to one another, “We aren’t doing right. Today is a day of good news, and we keep silent. If we wait until the morning light, punishment will overtake us. Now therefore come, let’s go and tell the king’s household.”"
2 Kings,7,10,"So they came and called to the city gatekeepers; and they told them, “We came to the camp of the Syrians, and, behold, there was no man there, not even a man’s voice, but the horses tied, and the donkeys tied, and the tents as they were.”"
2 Kings,7,11,He called the gatekeepers; and they told it to the king’s household within.
2 Kings,7,12,"The king arose in the night, and said to his servants, “I will now show you what the Syrians have done to us. They know that we are hungry. Therefore are they gone out of the camp to hide themselves in the field, saying, ‘When they come out of the city, we shall take them alive, and get into the city.’”"
2 Kings,7,13,"One of his servants answered, “Please let some people take five of the horses that remain, which are left in the city. Behold, they are like all the multitude of Israel who are left in it. Behold, they are like all the multitude of Israel who are consumed. Let us send and see.”"
2 Kings,7,14,"Therefore they took two chariots with horses; and the king sent them out to the Syrian army, saying, “Go and see.”"
2 Kings,7,15,"They went after them to the Jordan; and behold, all the path was full of garments and equipment which the Syrians had cast away in their haste. The messengers returned, and told the king."
2 Kings,7,16,"The people went out and plundered the camp of the Syrians. So a seah of fine flour was sold for a shekel, and two measures of barley for a shekel, according to Yahweh’s word."
2 Kings,7,17,"The king appointed the captain on whose hand he leaned to be in charge of the gate; and the people trampled over him in the gate, and he died as the man of God had said, who spoke when the king came down to him."
2 Kings,7,18,"It happened as the man of God had spoken to the king, saying, “Two seahs of barley for a shekel, and a seah of fine flour for a shekel, shall be tomorrow about this time in the gate of Samaria”;"
2 Kings,7,19,"and that captain answered the man of God, and said, “Now, behold, if Yahweh made windows in heaven, might such a thing be?” and he said, “Behold, you will see it with your eyes, but will not eat of it.”"
2 Kings,7,20,"It happened like that to him; for the people trampled over him in the gate, and he died."
2 Kings,7,21,
2 Kings,8,1,"Now Elisha had spoken to the woman whose son he had restored to life, saying, “Arise, and go, you and your household, and stay for a while wherever you can; for Yahweh has called for a famine. It will also come on the land for seven years.”"
2 Kings,8,2,"The woman arose, and did according to the man of God’s word. She went with her household, and lived in the land of the Philistines for seven years."
2 Kings,8,3,"At the end of seven years, the woman returned from the land of the Philistines. Then she went out to beg the king for her house and for her land."
2 Kings,8,4,"Now the king was talking with Gehazi the servant of the man of God, saying, “Please tell me all the great things that Elisha has done.”"
2 Kings,8,5,"As he was telling the king how he had restored to life him who was dead, behold, the woman, whose son he had restored to life, begged the king for her house and for her land. Gehazi said, “My lord, O king, this is the woman, and this is her son, whom Elisha restored to life.”"
2 Kings,8,6,"When the king asked the woman, she told him. So the king appointed to her a certain officer, saying, “Restore all that was hers, and all the fruits of the field since the day that she left the land, even until now.”"
2 Kings,8,7,"Elisha came to Damascus; and Benhadad the king of Syria was sick. He was told, “The man of God has come here.”"
